date,smap_sm,veg_water_content,esa_sm_percent,gpm_7day_accum_mm,gpm_7day_max_mm,glc_lat,glc_lon,landslide_id,landslide_category,landslide_trigger,landslide_size,gpm_7day_accum_norm,imerg_7day_accum_mm,imerg_7day_max_mm
2015-05-30 15:00:00,0.40944487,2.492165,49.665252685546875,30.791765451431274,10.972431182861328,40.2506,-111.6324,7019,landslide,continuous_rain,small,1.6710361528772668,,
2015-08-02 13:50:00,0.1796209,2.9340498,19.540315628051758,8.829734802246094,8.829734802246094,39.9963,-111.3962,7407,mudslide,downpour,small,1.0,,
2015-08-13 23:00:00,0.3129244,2.7762306,35.49702453613281,29.80483192205429,13.263633728027344,40.0101,-111.6393,7322,mudslide,downpour,small,3.1886024161633673,,
2015-08-30 00:00:00,0.44249612,0.1805131,39.033905029296875,21.4925067871809,17.277597427368164,37.11344851,-111.31120671,7773,debris_flow,downpour,medium,1.1091897858152926,,
2015-09-15 00:00:00,0.32595903,3.1357248,49.5052604675293,22.55673110578209,15.530655860900879,40.4826,-111.646,8125,unknown,downpour,small,1.1784300952228846,,
2015-09-15 15:30:00,0.32595903,3.1357248,49.5052604675293,22.55673110578209,15.530655860900879,40.4537,-111.662,8123,mudslide,downpour,medium,1.1091897858152926,34.564651372099995,3.82
2015-10-21 00:00:00,0.22344156,0.19229025,65.4308853149414,58.992701917886734,36.493228912353516,38.5624,-109.6312,7657,rock_fall,downpour,small,1.862491923459654,,
2017-01-12 00:00:00,0.28748772,1.095962,,50.02680215239525,20.634000778198242,37.25473337,-112.96146906,10322,rock_fall,rain,small,1.1915106914575584,,
2017-01-13 18:00:00,0.28748772,1.095962,,49.42660212516785,20.634000778198242,37.261043310000005,-112.94834609,10323,rock_fall,rain,medium,1.6056507131123494,98.85319769169999,10.5
2017-01-22 00:00:00,0.2810858,0.97781545,,10.481158375740051,4.869754791259766,37.12103728,-113.54909049,10324,mudslide,rain,small,4.374536809997906,,
2017-02-11 01:00:00,0.33408284,1.9364244,,22.987598745618016,9.835199356079102,40.37960204,-111.55346482,10319,mudslide,rain,medium,2.043111398706209,45.97519814259999,2.3167999
2017-02-18 00:00:00,0.4153301,0.7290733,69.1228256225586,8.904399298131466,4.858799457550049,41.58206909,-112.08889942,10316,mudslide,downpour,small,2.903548196784196,,
2017-02-24 00:00:00,0.24023423,1.203848,,2.8332000225782394,2.274600028991699,37.67124551,-112.11107345,10321,landslide,rain,small,1.0848893685859937,,
2017-05-12 00:00:00,0.313092,2.6686053,50.605369567871094,11.357282899320126,3.5875673294067383,40.48808507,-111.65093496,9694,mudslide,rain,small,1.3797913366778636,,
2018-03-07 00:00:00,0.47614428,1.5215907,,,,41.17461685,-111.99000223,11515,landslide,flooding,medium,,,
2018-07-12 20:15:24,0.15090553,0.87126905,25.836257934570312,40.122665483504534,23.095439910888672,38.18538087,-112.94092074,14402,debris_flow,rain,unknown,1.3597643546128724,,
2018-07-22 20:15:24,0.1634114,1.3031468,35.298580169677734,11.34617331624031,6.611143589019775,40.12778671,-110.7430751,14307,debris_flow,downpour,large,1.2124705166610381,,
2018-08-02 20:54:26,0.24266078,1.2194257,63.58529281616211,63.36321461200714,35.373878479003906,37.74440555,-112.33311122,13825,mudslide,downpour,medium,4.40569400550552,,
2018-08-08 20:14:35,0.13795586,3.2223167,24.14431381225586,14.552828272921033,8.90805721282959,38.75917555,-111.92448358,14047,landslide,rain,small,1.225271042166956,,
2018-10-03 18:38:09,0.26727808,2.481622,42.10600280761719,15.270000608637929,14.991474151611328,39.98386239,-111.7274902,14580,debris_flow,downpour,large,1.0051505043175044,,
2018-10-05 03:13:47,0.29905334,2.2276962,66.79904174804688,20.85217159590684,13.15746021270752,39.76901812,-111.68533871,14523,mudslide,rain,medium,1.2104581553156517,,
